,DECK_Open,DECK_High,DECK_Low,DECK_Close,DECK_Adj Close,DECK_Volume,DECK_Dividend Amount,DECK_Split Coefficient
2017-10-06,70.41,71.28,69.75,71.25,11.875,440109,0.0,1.0
2017-10-05,69.84,71.52,69.03,70.22,11.7033333333333,1050519,0.0,1.0
2017-10-04,68.99,69.97,68.51,69.22,11.5366666666667,411409,0.0,1.0
2017-10-03,69.09,69.19,68.17,68.79,11.465,317184,0.0,1.0
2017-10-02,68.51,69.1,67.55,69.0,11.5,371224,0.0,1.0
2017-09-29,67.24,68.55,66.87,68.41,11.4016666666667,520388,0.0,1.0
2017-09-28,67.31,67.85,67.06,67.14,11.19,255997,0.0,1.0
2017-09-27,66.49,67.67,66.49,67.39,11.2316666666667,562474,0.0,1.0
2017-09-26,64.62,66.54,64.2468,66.39,11.065,448060,0.0,1.0
2017-09-25,63.44,64.87,63.44,64.5,10.75,327582,0.0,1.0
2017-09-22,62.94,63.87,62.865,63.54,10.59,167002,0.0,1.0
2017-09-21,63.5,63.83,63.07,63.09,10.515,144381,0.0,1.0
2017-09-20,63.53,63.97,62.845,63.55,10.5916666666667,237594,0.0,1.0
2017-09-19,63.06,63.95,62.97,63.67,10.6116666666667,267260,0.0,1.0
2017-09-18,63.91,63.948,62.54,62.84,10.4733333333333,224447,0.0,1.0
2017-09-15,62.41,63.88,62.05,63.8,10.6333333333333,374536,0.0,1.0
2017-09-14,64.51,64.51,62.12,62.46,10.41,369995,0.0,1.0
2017-09-13,63.52,64.87,63.23,64.64,10.7733333333333,539650,0.0,1.0
2017-09-12,64.34,64.5,63.23,63.5,10.5833333333333,307007,0.0,1.0
2017-09-11,64.87,65.0719,63.97,64.2,10.7,223810,0.0,1.0
2017-09-08,64.58,65.03,63.66,64.62,10.77,285506,0.0,1.0
2017-09-07,64.56,64.8,63.77,64.75,10.7916666666667,300169,0.0,1.0
2017-09-06,63.61,64.66,63.4,64.43,10.7383333333333,449660,0.0,1.0
2017-09-05,65.5,65.85,63.2,63.44,10.5733333333333,402172,0.0,1.0
